State,Price(P),Change(P),Price(D),Change(D)
Andaman And Nicobar,84.10 ₹/L,  0.00,79.74 ₹/L,  0.00
Andhra Pradesh,111.66 ₹/L,+ 0.49,99.42 ₹/L,+ 0.46
Arunachal Pradesh,95.47 ₹/L,+ 0.08,84.68 ₹/L,+ 0.02
Assam,97.32 ₹/L,  0.00,89.36 ₹/L,  0.00
Bihar,109.23 ₹/L,- 0.43,95.88 ₹/L,- 0.40
Chandigarh,96.20 ₹/L,  0.00,84.26 ₹/L,  0.00
Chhattisgarh,103.58 ₹/L,+ 0.47,96.55 ₹/L,+ 0.47
Dadra And Nagar Haveli,94.43 ₹/L,  0.00,89.98 ₹/L,  0.00
Daman And Diu,94.24 ₹/L,  0.00,89.79 ₹/L,  0.00
Delhi,96.72 ₹/L,  0.00,89.62 ₹/L,  0.00
Goa,97.84 ₹/L,- 0.24,90.39 ₹/L,- 0.23
Gujarat,96.42 ₹/L,- 0.15,92.17 ₹/L,- 0.15
Haryana,97.53 ₹/L,+ 0.24,90.37 ₹/L,+ 0.23
Himachal Pradesh,95.61 ₹/L,- 0.34,84.85 ₹/L,- 0.31
Jammu And Kashmir,100.80 ₹/L,+ 0.06,85.97 ₹/L,- 0.01
Jharkhand,100.21 ₹/L,  0.00,95.00 ₹/L,  0.00
Karnataka,102.37 ₹/L,- 0.12,88.31 ₹/L,- 0.10
Kerala,108.58 ₹/L,  0.00,97.45 ₹/L,  0.00
Madhya Pradesh,109.70 ₹/L,+ 0.27,94.89 ₹/L,+ 0.24
Maharashtra,106.85 ₹/L,+ 0.33,93.33 ₹/L,+ 0.30
Manipur,101.23 ₹/L,+ 0.10,87.17 ₹/L,+ 0.09
Meghalaya,96.27 ₹/L,  0.00,84.78 ₹/L,  0.00
Mizoram,95.73 ₹/L,  0.00,82.18 ₹/L,  0.00
Nagaland,98.28 ₹/L,  0.00,86.65 ₹/L,  0.00
Odisha,104.60 ₹/L,- 0.08,96.14 ₹/L,- 0.05
Puducherry,95.93 ₹/L,+ 0.04,86.16 ₹/L,+ 0.04
Punjab,97.81 ₹/L,  0.00,88.15 ₹/L,  0.00
Rajasthan,108.21 ₹/L,- 0.17,93.48 ₹/L,- 0.15
Sikkim,102.85 ₹/L,  0.00,89.90 ₹/L,  0.00
Tamil Nadu,103.88 ₹/L,  0.00,95.50 ₹/L,  0.00
Telangana,111.90 ₹/L,+ 0.08,99.90 ₹/L,+ 0.07
Tripura,98.66 ₹/L,  0.00,87.66 ₹/L,  0.00
Uttar Pradesh,96.63 ₹/L,+ 0.43,89.80 ₹/L,+ 0.43
Uttarakhand,95.66 ₹/L,  0.00,90.59 ₹/L,  0.00
West Bengal,107.26 ₹/L,+ 0.44,93.90 ₹/L,+ 0.41
