State,Price(P),Change(P),Price(D),Change(D)
Andaman And Nicobar,82.42 ₹/L,  0.00,78.01 ₹/L,  0.00
Andhra Pradesh,108.70 ₹/L,- 0.98,96.60 ₹/L,- 0.91
Arunachal Pradesh,93.48 ₹/L,  0.00,82.83 ₹/L,  0.00
Assam,98.76 ₹/L,+ 0.27,89.96 ₹/L,+ 0.25
Bihar,107.21 ₹/L,+ 0.41,93.92 ₹/L,+ 0.38
Chandigarh,94.24 ₹/L,  0.00,82.40 ₹/L,  0.00
Chhattisgarh,101.02 ₹/L,  0.00,93.95 ₹/L,  0.00
Daman And Diu,92.39 ₹/L,+ 0.07,87.88 ₹/L,+ 0.07
Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
Goa,96.54 ₹/L,- 0.11,88.31 ₹/L,- 0.11
Gujarat,94.65 ₹/L,  0.00,90.32 ₹/L,  0.00
Haryana,95.54 ₹/L,+ 0.08,88.36 ₹/L,+ 0.07
Himachal Pradesh,94.00 ₹/L,+ 0.75,86.34 ₹/L,+ 0.70
Jammu And Kashmir,98.75 ₹/L,  0.00,84.16 ₹/L,  0.00
Jharkhand,98.20 ₹/L,+ 0.29,92.94 ₹/L,+ 0.28
Karnataka,103.62 ₹/L,+ 0.18,89.65 ₹/L,+ 0.16
Kerala,105.70 ₹/L,  0.00,94.68 ₹/L,  0.00
Madhya Pradesh,107.40 ₹/L,- 0.05,92.72 ₹/L,- 0.05
Maharashtra,104.19 ₹/L,- 0.08,90.73 ₹/L,- 0.08
Manipur,99.09 ₹/L,  0.00,85.16 ₹/L,  0.00
Meghalaya,95.71 ₹/L,  0.00,87.12 ₹/L,  0.00
Mizoram,100.01 ₹/L,+ 0.80,88.74 ₹/L,+ 0.75
Nagaland,96.61 ₹/L,  0.00,87.95 ₹/L,  0.00
Odisha,102.39 ₹/L,+ 0.05,93.92 ₹/L,+ 0.05
Puducherry,93.98 ₹/L,+ 0.04,84.26 ₹/L,+ 0.04
Punjab,97.41 ₹/L,- 0.14,87.90 ₹/L,- 0.14
Rajasthan,104.48 ₹/L,- 0.04,90.00 ₹/L,- 0.03
Sikkim,101.70 ₹/L,  0.00,88.90 ₹/L,  0.00
Tamil Nadu,102.02 ₹/L,+ 0.02,93.62 ₹/L,+ 0.02
Telangana,109.67 ₹/L,+ 0.60,97.75 ₹/L,+ 0.56
Tripura,96.22 ₹/L,- 0.42,85.33 ₹/L,- 0.39
Uttar Pradesh,94.56 ₹/L,- 0.14,87.64 ₹/L,- 0.15
Uttarakhand,94.71 ₹/L,+ 0.97,89.40 ₹/L,+ 0.87
West Bengal,106.22 ₹/L,+ 0.22,92.94 ₹/L,+ 0.21
