City,Price(P),Change(P),Price(D),Change(D)
Anantapur,110.87 ₹/L,- 0.94,99.53 ₹/L,+ 0.05
Chittoor,112.66 ₹/L,+ 0.11,100.19 ₹/L,- 0.29
Cuddapah,111.19 ₹/L,+ 0.05,98.91 ₹/L,  0.00
East Godavari,111.51 ₹/L,  0.00,99.26 ₹/L,+ 0.32
Guntur,111.97 ₹/L,+ 0.10,99.61 ₹/L,+ 0.10
Krishna,112.02 ₹/L,- 0.29,100.02 ₹/L,+ 0.71
Kurnool,111.30 ₹/L,- 0.11,99.18 ₹/L,- 0.46
Nellore,112.67 ₹/L,- 0.17,100.46 ₹/L,  0.00
Prakasam,110.97 ₹/L,- 1.15,99.82 ₹/L,+ 1.23
Srikakulam,111.95 ₹/L,- 0.92,100.49 ₹/L,+ 1.28
Vishakhapatnam,110.48 ₹/L,  0.00,98.27 ₹/L,  0.00
Vizianagaram,110.88 ₹/L,- 0.77,99.36 ₹/L,+ 0.85
West Godavari,111.51 ₹/L,- 0.57,99.79 ₹/L,+ 0.24
