City,Price(P),Change(P),Price(D),Change(D)
Baksa,97.44 ₹/L,- 0.03,89.68 ₹/L,- 0.03
Barpeta,97.66 ₹/L,+ 0.36,89.88 ₹/L,+ 0.35
Biswanath,98.44 ₹/L,  0.00,90.67 ₹/L,  0.00
Bongaigaon,97.13 ₹/L,+ 0.02,89.37 ₹/L,+ 0.03
Cachar,97.77 ₹/L,  0.00,90.04 ₹/L,  0.00
Charaideo,97.87 ₹/L,- 0.34,90.09 ₹/L,- 0.34
Chirang,97.11 ₹/L,  0.00,89.34 ₹/L,  0.00
Darrang,97.52 ₹/L,- 0.31,89.75 ₹/L,- 0.30
Dhemaji,98.26 ₹/L,- 0.09,90.47 ₹/L,- 0.09
Dhuburi,98.53 ₹/L,+ 1.10,90.74 ₹/L,+ 1.08
Dibrugarh,98.21 ₹/L,+ 0.19,90.43 ₹/L,+ 0.19
Dima Hasao,98.97 ₹/L,+ 0.20,91.22 ₹/L,+ 0.20
Goalpara,97.99 ₹/L,- 0.02,90.21 ₹/L,- 0.02
Golaghat,97.15 ₹/L,- 0.17,89.39 ₹/L,- 0.17
Hailakandi,97.84 ₹/L,- 0.23,90.11 ₹/L,- 0.22
Hojai,97.98 ₹/L,  0.00,90.23 ₹/L,  0.00
Jorhat,97.58 ₹/L,- 0.25,89.81 ₹/L,- 0.25
Kamrup,97.28 ₹/L,+ 0.09,89.52 ₹/L,+ 0.10
Kamrup Metro,97.14 ₹/L,  0.00,89.38 ₹/L,  0.00
Karbi Anglong,97.34 ₹/L,- 0.43,89.57 ₹/L,- 0.46
Karimganj,98.38 ₹/L,- 0.22,90.65 ₹/L,- 0.21
Kokrajhar,97.70 ₹/L,  0.00,89.93 ₹/L,  0.00
Lakhimpur,98.93 ₹/L,- 0.50,91.15 ₹/L,- 0.50
Majuli,99.47 ₹/L,  0.00,91.67 ₹/L,  0.00
Morigaon,98.46 ₹/L,+ 0.67,90.67 ₹/L,+ 0.66
Nagaon,98.41 ₹/L,- 0.22,90.62 ₹/L,- 0.22
Nalbari,97.79 ₹/L,+ 0.21,90.01 ₹/L,+ 0.20
Sibsagar,98.37 ₹/L,- 0.02,90.58 ₹/L,- 0.02
Sonitpur,97.57 ₹/L,+ 0.25,89.82 ₹/L,+ 0.25
Tinsukia,97.39 ₹/L,+ 0.28,89.62 ₹/L,+ 0.28
Udalguri,97.86 ₹/L,  0.00,90.08 ₹/L,  0.00
West Karbi Anglong,98.63 ₹/L,  0.00,90.86 ₹/L,  0.00
