City,Price(P),Change(P),Price(D),Change(D)
Araria,106.94 ₹/L,+ 0.08,93.80 ₹/L,+ 0.21
Arwal,105.93 ₹/L,+ 0.06,92.63 ₹/L,- 0.11
Aurangabad,106.34 ₹/L,- 0.49,93.76 ₹/L,+ 0.12
Banka,106.06 ₹/L,- 0.35,93.46 ₹/L,+ 0.61
Begusarai,104.97 ₹/L,- 0.08,91.90 ₹/L,- 0.05
Bhagalpur,106.36 ₹/L,+ 0.41,93.41 ₹/L,+ 0.43
Bhojpur,105.60 ₹/L,  0.00,92.87 ₹/L,+ 0.43
Buxar,106.75 ₹/L,+ 0.21,93.32 ₹/L,- 0.19
Darbhanga,106.04 ₹/L,  0.00,92.83 ₹/L,- 0.01
East Champaran,106.66 ₹/L,+ 0.10,93.32 ₹/L,- 0.22
Gaya,106.31 ₹/L,+ 0.09,92.75 ₹/L,- 0.48
Gopalganj,106.76 ₹/L,- 0.13,93.46 ₹/L,- 0.32
Jahanabad,105.73 ₹/L,- 0.07,92.62 ₹/L,+ 0.06
Jamui,106.21 ₹/L,- 0.50,93.45 ₹/L,+ 0.47
Kaimur,106.94 ₹/L,  0.00,93.80 ₹/L,  0.00
Katihar,106.38 ₹/L,- 0.56,93.75 ₹/L,+ 0.77
Khagaria,105.58 ₹/L,+ 0.18,92.52 ₹/L,+ 0.12
Kishanganj,106.93 ₹/L,- 0.01,93.80 ₹/L,  0.00
Luckeesarai,106.03 ₹/L,+ 0.02,92.86 ₹/L,+ 0.04
Madhepura,106.27 ₹/L,- 0.33,93.04 ₹/L,- 0.31
Madhubani,106.59 ₹/L,- 0.01,93.35 ₹/L,+ 0.13
Munger,105.47 ₹/L,- 0.23,92.29 ₹/L,  0.00
Muzaffarpur,106.05 ₹/L,- 0.01,92.96 ₹/L,+ 0.11
Nalanda,105.66 ₹/L,- 0.31,92.81 ₹/L,+ 0.26
Nawada,106.23 ₹/L,+ 0.02,92.88 ₹/L,- 0.39
Patna,105.23 ₹/L,- 0.18,92.26 ₹/L,- 0.16
Purnia,106.86 ₹/L,- 0.08,93.46 ₹/L,- 0.24
Rohtas,106.61 ₹/L,+ 0.23,93.17 ₹/L,+ 0.03
Saharsa,106.02 ₹/L,  0.00,92.81 ₹/L,- 0.07
Samastipur,105.59 ₹/L,+ 0.35,92.11 ₹/L,- 0.19
Saran,105.96 ₹/L,+ 0.07,92.49 ₹/L,- 0.58
Sewan,106.45 ₹/L,+ 0.09,93.38 ₹/L,  0.00
Sheikhpura,106.55 ₹/L,+ 0.24,93.33 ₹/L,  0.00
Sheohar,106.55 ₹/L,+ 0.07,93.31 ₹/L,+ 0.07
Sitamarhi,106.43 ₹/L,- 0.12,93.34 ₹/L,+ 0.34
Supaul,106.73 ₹/L,+ 0.21,93.18 ₹/L,- 0.27
Vaishali,105.84 ₹/L,+ 0.10,92.22 ₹/L,- 0.33
West Champaran,106.94 ₹/L,+ 0.01,93.79 ₹/L,  0.00
