City,Price(P),Change(P),Price(D),Change(D)
Balod,103.58 ₹/L,+ 0.50,96.06 ₹/L,- 0.49
Balodabazar,103.07 ₹/L,+ 0.06,95.98 ₹/L,- 0.07
Balrampur,104.66 ₹/L,  0.00,97.62 ₹/L,  0.00
Bastar,105.29 ₹/L,- 0.12,98.35 ₹/L,+ 0.12
Bemetara,102.91 ₹/L,  0.00,96.14 ₹/L,+ 0.25
Bijapur,106.85 ₹/L,  0.00,99.77 ₹/L,  0.00
Bilaspur,103.16 ₹/L,+ 0.12,95.68 ₹/L,- 0.46
Dantewada,106.39 ₹/L,- 0.26,99.58 ₹/L,+ 0.27
Dhamtari,102.68 ₹/L,- 0.10,95.76 ₹/L,+ 0.10
Durg,102.63 ₹/L,- 0.08,95.77 ₹/L,+ 0.16
Gariyaband,103.08 ₹/L,+ 0.36,95.70 ₹/L,- 0.35
Janjgir,102.81 ₹/L,+ 0.28,95.91 ₹/L,+ 0.12
Jashpur,103.39 ₹/L,- 1.04,96.89 ₹/L,+ 0.52
Kanker,103.92 ₹/L,  0.00,96.56 ₹/L,- 0.33
Kawardha,103.43 ₹/L,  0.00,96.40 ₹/L,  0.00
Kondagaon,104.45 ₹/L,  0.00,97.40 ₹/L,  0.00
Korba,102.13 ₹/L,- 0.49,95.45 ₹/L,+ 0.32
Koria,103.38 ₹/L,  0.00,96.36 ₹/L,  0.00
Mahasamund,103.73 ₹/L,  0.00,96.69 ₹/L,  0.00
Mungeli,103.20 ₹/L,- 0.08,96.31 ₹/L,+ 0.13
Raigarh,103.17 ₹/L,- 0.40,96.51 ₹/L,+ 0.36
Raipur,102.45 ₹/L,  0.00,95.30 ₹/L,- 0.14
Rajnandgaon,102.86 ₹/L,- 0.28,96.11 ₹/L,+ 0.27
Sukma,106.25 ₹/L,  0.00,99.18 ₹/L,  0.00
Surajpur,103.70 ₹/L,  0.00,97.00 ₹/L,+ 0.33
Surguja,103.59 ₹/L,- 0.26,96.09 ₹/L,- 0.48
