City,Price(P),Change(P),Price(D),Change(D)
Nicobar,84.10 ₹/L,  0.00,79.74 ₹/L,  0.00
North And Middle Andaman,84.10 ₹/L,  0.00,79.74 ₹/L,  0.00
South Andaman,84.10 ₹/L,  0.00,79.74 ₹/L,  0.00
Anantapur,111.42 ₹/L,- 0.32,99.19 ₹/L,- 0.30
Chittoor,112.86 ₹/L,+ 0.20,100.48 ₹/L,+ 0.18
Cuddapah,110.98 ₹/L,  0.00,98.76 ₹/L,  0.00
East Godavari,111.06 ₹/L,- 0.22,98.84 ₹/L,- 0.21
Guntur,111.50 ₹/L,- 0.26,99.27 ₹/L,- 0.24
Krishna,111.33 ₹/L,- 0.05,99.12 ₹/L,- 0.04
Kurnool,111.90 ₹/L,+ 0.60,99.64 ₹/L,+ 0.56
Nellore,111.81 ₹/L,- 0.54,99.51 ₹/L,- 0.50
Prakasam,111.76 ₹/L,- 0.36,99.49 ₹/L,- 0.33
Srikakulam,111.60 ₹/L,- 0.89,99.31 ₹/L,- 0.83
Vishakhapatnam,110.48 ₹/L,  0.00,98.27 ₹/L,  0.00
Vizianagaram,110.74 ₹/L,- 0.38,98.51 ₹/L,- 0.35
West Godavari,111.82 ₹/L,  0.00,99.55 ₹/L,  0.00
Changlang,95.39 ₹/L,- 0.08,84.66 ₹/L,- 0.02
Dibang Valley,95.30 ₹/L,  0.00,84.57 ₹/L,  0.00
East Khameng,94.74 ₹/L,  0.00,83.91 ₹/L,  0.00
East Siang,94.51 ₹/L,+ 0.20,83.84 ₹/L,+ 0.19
Lohit,95.39 ₹/L,  0.00,84.66 ₹/L,  0.00
Longding,95.06 ₹/L,  0.00,84.35 ₹/L,  0.00
Lower Dibang Valley,95.52 ₹/L,- 0.08,84.77 ₹/L,- 0.03
Lower Subansiri,93.03 ₹/L,+ 0.16,82.40 ₹/L,+ 0.08
Namsai,95.13 ₹/L,  0.00,84.42 ₹/L,  0.00
Papumpare,92.52 ₹/L,  0.00,81.99 ₹/L,  0.00
Tawang,98.26 ₹/L,  0.00,86.91 ₹/L,  0.00
Tirap,95.34 ₹/L,  0.00,84.52 ₹/L,  0.00
Upper Siang,95.81 ₹/L,- 0.02,85.05 ₹/L,- 0.01
Upper Sibansiri,95.60 ₹/L,- 0.18,84.85 ₹/L,- 0.15
West Kameng,96.54 ₹/L,  0.00,85.33 ₹/L,  0.00
West Siang,95.82 ₹/L,  0.00,84.84 ₹/L,  0.00
Baksa,97.69 ₹/L,+ 0.37,89.72 ₹/L,+ 0.36
Barpeta,97.63 ₹/L,+ 0.10,89.66 ₹/L,+ 0.09
Biswanath,98.29 ₹/L,+ 0.42,90.34 ₹/L,+ 0.42
Bongaigaon,96.98 ₹/L,- 0.33,89.03 ₹/L,- 0.32
Cachar,97.75 ₹/L,+ 0.18,89.83 ₹/L,+ 0.18
Charaideo,97.74 ₹/L,  0.00,89.77 ₹/L,  0.00
Chirang,96.98 ₹/L,  0.00,89.03 ₹/L,  0.00
Darrang,97.70 ₹/L,  0.00,89.73 ₹/L,  0.00
Dhemaji,98.39 ₹/L,+ 0.28,90.41 ₹/L,+ 0.27
Dhuburi,97.31 ₹/L,- 1.07,89.35 ₹/L,- 1.05
Dibrugarh,97.67 ₹/L,+ 0.09,89.71 ₹/L,+ 0.09
Dima Hasao,98.83 ₹/L,  0.00,90.89 ₹/L,  0.00
Goalpara,97.64 ₹/L,- 0.14,89.68 ₹/L,- 0.13
Golaghat,97.18 ₹/L,+ 0.20,89.22 ₹/L,+ 0.19
Hailakandi,97.91 ₹/L,+ 0.08,89.98 ₹/L,+ 0.07
Hojai,97.90 ₹/L,+ 0.50,89.96 ₹/L,+ 0.49
Jorhat,97.50 ₹/L,+ 0.01,89.54 ₹/L,+ 0.01
Kamrup,97.45 ₹/L,+ 0.37,89.49 ₹/L,+ 0.37
Kamrup Metro,97.02 ₹/L,  0.00,89.07 ₹/L,  0.00
Karbi Anglong,98.10 ₹/L,- 0.02,90.15 ₹/L,- 0.03
Karimganj,98.36 ₹/L,+ 0.17,90.43 ₹/L,+ 0.17
Kokrajhar,97.87 ₹/L,+ 0.74,89.90 ₹/L,+ 0.73
Lakhimpur,98.78 ₹/L,- 0.48,90.80 ₹/L,- 0.49
Majuli,99.30 ₹/L,+ 0.04,91.31 ₹/L,+ 0.04
Morigaon,97.59 ₹/L,- 0.72,89.63 ₹/L,- 0.71
Nagaon,98.20 ₹/L,+ 0.52,90.23 ₹/L,+ 0.50
Nalbari,97.66 ₹/L,+ 0.32,89.69 ₹/L,+ 0.31
Sibsagar,97.91 ₹/L,- 0.01,89.94 ₹/L,- 0.01
Sonitpur,97.20 ₹/L,- 0.08,89.26 ₹/L,- 0.08
Tinsukia,96.98 ₹/L,  0.00,89.03 ₹/L,  0.00
Udalguri,97.73 ₹/L,- 0.20,89.76 ₹/L,- 0.20
West Karbi Anglong,98.48 ₹/L,+ 0.16,90.52 ₹/L,+ 0.15
Araria,108.90 ₹/L,- 0.25,95.57 ₹/L,- 0.23
Arwal,107.81 ₹/L,- 0.13,94.57 ₹/L,- 0.12
Aurangabad,109.03 ₹/L,+ 0.68,95.71 ₹/L,+ 0.64
Banka,108.30 ₹/L,- 0.21,95.00 ₹/L,- 0.20
Begusarai,107.05 ₹/L,+ 0.10,93.83 ₹/L,+ 0.09
Bhagalpur,107.84 ₹/L,- 0.24,94.57 ₹/L,- 0.23
Bhojpur,107.89 ₹/L,- 0.25,94.65 ₹/L,- 0.23
Buxar,108.55 ₹/L,- 0.24,95.27 ₹/L,- 0.21
Darbhanga,108.02 ₹/L,+ 0.11,94.75 ₹/L,+ 0.10
East Champaran,108.56 ₹/L,- 0.18,95.25 ₹/L,- 0.19
Gaya,108.26 ₹/L,- 0.44,94.98 ₹/L,- 0.42
Gopalganj,109.01 ₹/L,+ 0.32,95.69 ₹/L,+ 0.30
Jahanabad,107.80 ₹/L,- 0.10,94.56 ₹/L,- 0.09
Jamui,108.25 ₹/L,+ 0.04,94.96 ₹/L,+ 0.03
Kaimur,109.19 ₹/L,+ 0.03,95.86 ₹/L,+ 0.03
Katihar,108.70 ₹/L,- 0.50,95.38 ₹/L,- 0.47
Khagaria,107.41 ₹/L,- 0.18,94.18 ₹/L,- 0.16
Kishanganj,109.73 ₹/L,- 0.17,96.34 ₹/L,- 0.16
Luckeesarai,107.83 ₹/L,- 0.31,94.57 ₹/L,- 0.29
Madhepura,108.51 ₹/L,+ 0.26,95.20 ₹/L,+ 0.24
Madhubani,108.45 ₹/L,- 0.41,95.15 ₹/L,- 0.38
Munger,107.70 ₹/L,  0.00,94.44 ₹/L,  0.00
Muzaffarpur,108.22 ₹/L,+ 0.25,94.94 ₹/L,+ 0.25
Nalanda,107.98 ₹/L,+ 0.13,94.72 ₹/L,+ 0.11
Nawada,108.22 ₹/L,+ 0.09,94.95 ₹/L,+ 0.08
Patna,107.59 ₹/L,- 0.36,94.36 ₹/L,- 0.34
Purnia,109.31 ₹/L,+ 0.47,95.95 ₹/L,+ 0.44
Rohtas,108.80 ₹/L,+ 0.17,95.50 ₹/L,+ 0.17
Saharsa,108.15 ₹/L,- 0.04,94.87 ₹/L,- 0.03
Samastipur,107.67 ₹/L,- 0.03,94.41 ₹/L,- 0.03
Saran,107.66 ₹/L,+ 0.18,94.43 ₹/L,+ 0.17
Sewan,108.91 ₹/L,+ 0.29,95.60 ₹/L,+ 0.28
Sheikhpura,108.56 ₹/L,  0.00,95.27 ₹/L,  0.00
Sheohar,108.56 ₹/L,  0.00,95.25 ₹/L,  0.00
Sitamarhi,108.27 ₹/L,- 0.29,94.98 ₹/L,- 0.27
Supaul,108.43 ₹/L,- 0.12,95.13 ₹/L,- 0.11
Vaishali,107.54 ₹/L,+ 0.22,94.32 ₹/L,+ 0.21
West Champaran,109.17 ₹/L,+ 0.17,95.84 ₹/L,+ 0.16
Chandigarh,96.20 ₹/L,  0.00,84.26 ₹/L,  0.00
Balod,103.11 ₹/L,- 0.47,96.08 ₹/L,- 0.47
Balodabazar,103.42 ₹/L,+ 0.41,96.39 ₹/L,+ 0.41
Balrampur,104.09 ₹/L,- 0.57,97.05 ₹/L,- 0.57
Bastar,105.29 ₹/L,  0.00,98.23 ₹/L,  0.00
Bemetara,102.44 ₹/L,- 0.47,95.42 ₹/L,- 0.46
Bijapur,106.85 ₹/L,  0.00,99.77 ₹/L,  0.00
Bilaspur,102.84 ₹/L,+ 0.17,95.82 ₹/L,+ 0.16
Dantewada,106.65 ₹/L,+ 0.14,99.58 ₹/L,+ 0.15
Dhamtari,103.64 ₹/L,+ 0.96,96.60 ₹/L,+ 0.94
Durg,102.70 ₹/L,+ 0.07,95.68 ₹/L,+ 0.07
Gariyaband,102.72 ₹/L,- 0.36,95.70 ₹/L,- 0.35
Janjgir,103.07 ₹/L,+ 0.33,96.05 ₹/L,+ 0.33
Jashpur,103.90 ₹/L,- 0.12,96.87 ₹/L,- 0.11
Kanker,103.20 ₹/L,- 0.72,96.17 ₹/L,- 0.72
Kawardha,103.21 ₹/L,- 0.20,96.18 ₹/L,- 0.19
Kondagaon,105.29 ₹/L,+ 0.84,98.23 ₹/L,+ 0.83
Korba,102.81 ₹/L,+ 0.63,95.79 ₹/L,+ 0.62
Koria,103.47 ₹/L,+ 0.34,96.45 ₹/L,+ 0.34
Mahasamund,103.14 ₹/L,- 0.59,96.11 ₹/L,- 0.58
Mungeli,103.39 ₹/L,- 0.03,96.36 ₹/L,- 0.03
Raigarh,103.53 ₹/L,+ 0.78,96.51 ₹/L,+ 0.78
Raipur,102.66 ₹/L,+ 0.21,95.64 ₹/L,+ 0.20
Rajnandgaon,102.96 ₹/L,+ 0.10,95.93 ₹/L,+ 0.09
Sukma,106.25 ₹/L,  0.00,99.17 ₹/L,  0.00
Surajpur,103.36 ₹/L,- 0.34,96.34 ₹/L,- 0.33
Surguja,103.91 ₹/L,+ 0.32,96.88 ₹/L,+ 0.31
Silvassa,94.43 ₹/L,  0.00,89.98 ₹/L,  0.00
Daman,94.24 ₹/L,- 0.07,89.79 ₹/L,- 0.07
Diu,95.26 ₹/L,  0.00,90.81 ₹/L,  0.00
