City,Price(P),Change(P),Price(D),Change(D)
Central Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
Delhi Shahdara,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
East Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
New Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
North Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
North East Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
North West Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
South Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
South East Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
South West Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
West Delhi,94.72 ₹/L,  0.00,87.62 ₹/L,  0.00
