City,Price(P),Change(P),Price(D),Change(D)
Ahmedabad,96.42 ₹/L,  0.00,92.17 ₹/L,  0.00
Amreli,97.95 ₹/L,+ 0.70,93.72 ₹/L,+ 0.71
Anand,96.59 ₹/L,+ 0.41,92.34 ₹/L,+ 0.42
Aravalli,97.16 ₹/L,- 0.20,92.91 ₹/L,- 0.19
Banas Kantha,96.22 ₹/L,- 0.34,91.98 ₹/L,- 0.34
Bharuch,96.99 ₹/L,+ 0.22,92.74 ₹/L,+ 0.22
Bhavnagar,97.99 ₹/L,+ 0.33,93.74 ₹/L,+ 0.33
Botad,97.64 ₹/L,- 0.44,93.39 ₹/L,- 0.44
Chhotaudepur,96.41 ₹/L,- 0.33,92.15 ₹/L,- 0.33
Dahod,96.96 ₹/L,- 0.34,92.71 ₹/L,- 0.34
Devbhumi Dwarka,96.77 ₹/L,+ 0.56,92.52 ₹/L,+ 0.56
Gandhi Nagar,96.64 ₹/L,- 0.06,92.39 ₹/L,- 0.05
Gir Somnath,98.15 ₹/L,+ 0.33,93.92 ₹/L,+ 0.34
Jamnagar,96.04 ₹/L,- 0.39,91.78 ₹/L,- 0.40
Junagadh,97.73 ₹/L,+ 0.71,93.50 ₹/L,+ 0.71
Kheda,96.22 ₹/L,- 0.39,91.96 ₹/L,- 0.39
Kutch,96.59 ₹/L,+ 0.34,92.33 ₹/L,+ 0.34
Mahisagar,97.16 ₹/L,- 0.11,92.90 ₹/L,- 0.12
Mehsana,96.52 ₹/L,- 0.10,92.29 ₹/L,- 0.09
Morbi,96.77 ₹/L,+ 0.37,92.54 ₹/L,+ 0.38
Narmada,96.99 ₹/L,+ 0.33,92.73 ₹/L,+ 0.33
Navsari,96.54 ₹/L,+ 0.09,92.30 ₹/L,+ 0.08
Panch Mahal,96.44 ₹/L,- 0.32,92.18 ₹/L,- 0.33
Patan,96.46 ₹/L,- 0.16,92.22 ₹/L,- 0.16
Porbander,96.77 ₹/L,- 0.17,92.52 ₹/L,- 0.17
Rajkot,96.19 ₹/L,  0.00,91.95 ₹/L,  0.00
Sabar Kantha,97.10 ₹/L,- 0.02,92.84 ₹/L,- 0.02
Surat,96.59 ₹/L,- 0.15,92.35 ₹/L,- 0.16
Surendranagar,97.15 ₹/L,+ 0.48,92.92 ₹/L,+ 0.49
Tapi,96.99 ₹/L,+ 0.26,92.75 ₹/L,+ 0.25
The Dangs,97.25 ₹/L,  0.00,93.01 ₹/L,  0.00
Vadodara,96.08 ₹/L,  0.00,91.82 ₹/L,  0.00
Valsad,97.39 ₹/L,+ 0.39,93.15 ₹/L,+ 0.39
