City,Price(P),Change(P),Price(D),Change(D)
Ambala,95.31 ₹/L,- 0.31,88.15 ₹/L,- 0.30
Bhiwani,95.56 ₹/L,- 0.01,88.40 ₹/L,- 0.01
Charki Dadri,95.34 ₹/L,+ 0.05,88.19 ₹/L,+ 0.05
Faridabad,95.56 ₹/L,  0.00,88.40 ₹/L,  0.00
Fatehabad,96.04 ₹/L,  0.00,88.86 ₹/L,  0.00
Gurgaon,95.17 ₹/L,+ 0.15,88.03 ₹/L,+ 0.15
Hisar,95.95 ₹/L,  0.00,88.77 ₹/L,  0.00
Jhajjar,95.38 ₹/L,+ 0.19,88.23 ₹/L,+ 0.18
Jind,94.81 ₹/L,- 0.56,87.63 ₹/L,- 0.57
Kaithal,95.10 ₹/L,- 0.08,87.94 ₹/L,- 0.08
Karnal,94.87 ₹/L,- 0.03,87.71 ₹/L,- 0.03
Kurukshetra,95.40 ₹/L,+ 0.07,88.23 ₹/L,+ 0.06
Mahendragarh,95.18 ₹/L,+ 0.03,88.03 ₹/L,+ 0.02
Mewat,95.31 ₹/L,+ 0.31,88.16 ₹/L,+ 0.31
Palwal,95.63 ₹/L,  0.00,88.47 ₹/L,  0.00
Panchkula,95.88 ₹/L,- 0.03,88.70 ₹/L,- 0.03
Panipat,94.59 ₹/L,- 0.07,87.38 ₹/L,- 0.09
Rewari,94.70 ₹/L,- 0.07,87.53 ₹/L,- 0.08
Rohtak,95.30 ₹/L,  0.00,88.14 ₹/L,  0.00
Sirsa,96.55 ₹/L,  0.00,89.34 ₹/L,  0.00
Sonipat,95.02 ₹/L,+ 0.10,87.86 ₹/L,+ 0.10
Yamunanagar,95.30 ₹/L,- 0.09,88.13 ₹/L,- 0.09
