City,Price(P),Change(P),Price(D),Change(D)
Bilaspur,93.30 ₹/L,- 0.42,85.68 ₹/L,- 0.67
Chamba,94.92 ₹/L,+ 0.62,87.35 ₹/L,- 0.01
Hamirpur,93.76 ₹/L,+ 0.01,86.11 ₹/L,  0.00
Kangra,94.21 ₹/L,+ 0.44,86.53 ₹/L,+ 0.23
Kinnaur,94.77 ₹/L,  0.00,87.31 ₹/L,+ 0.06
Kullu,94.92 ₹/L,- 0.01,87.32 ₹/L,  0.00
Lahul Spiti,94.97 ₹/L,+ 0.63,86.97 ₹/L,  0.00
Mandi,94.10 ₹/L,- 0.10,86.42 ₹/L,- 0.12
Shimla,94.88 ₹/L,- 0.15,87.27 ₹/L,- 0.04
Sirmaur,94.92 ₹/L,  0.00,87.05 ₹/L,- 0.21
Solan,94.28 ₹/L,+ 0.83,86.61 ₹/L,+ 0.45
Una,93.25 ₹/L,- 0.03,85.62 ₹/L,+ 0.16
