City,Price(P),Change(P),Price(D),Change(D)
Anantnag,99.06 ₹/L,+ 0.38,84.36 ₹/L,+ 0.24
Badgam,99.19 ₹/L,- 0.07,84.53 ₹/L,- 0.06
Bandipora,99.45 ₹/L,- 0.22,84.78 ₹/L,- 0.20
Baramullah,99.43 ₹/L,  0.00,84.76 ₹/L,  0.00
Doda,98.11 ₹/L,+ 0.52,83.55 ₹/L,+ 0.46
Ganderbal,99.56 ₹/L,  0.00,84.87 ₹/L,  0.00
Jammu,95.43 ₹/L,  0.00,81.28 ₹/L,  0.00
Kathua,96.12 ₹/L,- 0.02,81.92 ₹/L,- 0.02
Kishtwar,98.53 ₹/L,  0.00,83.94 ₹/L,  0.00
Kulgam,99.00 ₹/L,+ 0.20,84.31 ₹/L,+ 0.12
Kupwara,100.13 ₹/L,+ 0.21,85.41 ₹/L,+ 0.20
Poonch,98.11 ₹/L,+ 0.11,83.61 ₹/L,+ 0.11
Pulwama,98.71 ₹/L,- 0.31,84.16 ₹/L,- 0.27
Rajouri,97.06 ₹/L,+ 0.37,82.72 ₹/L,+ 0.35
Ramban,97.48 ₹/L,  0.00,82.99 ₹/L,  0.00
Reasi,96.74 ₹/L,  0.00,82.30 ₹/L,  0.00
Samba,95.43 ₹/L,- 0.31,81.28 ₹/L,- 0.28
Shopian,98.85 ₹/L,- 0.03,84.27 ₹/L,- 0.03
Srinagar,99.19 ₹/L,- 0.07,84.53 ₹/L,- 0.06
Udhampur,96.30 ₹/L,- 0.30,82.08 ₹/L,- 0.12
