City,Price(P),Change(P),Price(D),Change(D)
Bokaro,98.26 ₹/L,+ 0.06,93.01 ₹/L,+ 0.07
Chatra,99.19 ₹/L,- 0.45,93.94 ₹/L,- 0.45
Deogarh,97.63 ₹/L,  0.00,92.33 ₹/L,  0.00
Dhanbad,98.00 ₹/L,- 0.12,92.74 ₹/L,- 0.13
Dumka,98.13 ₹/L,+ 0.20,92.85 ₹/L,+ 0.20
East Singhbhum,98.58 ₹/L,+ 0.60,93.32 ₹/L,+ 0.60
Garhwa,100.26 ₹/L,+ 0.11,95.00 ₹/L,+ 0.10
Giridih,99.21 ₹/L,  0.00,93.94 ₹/L,  0.00
Godda,98.79 ₹/L,  0.00,93.51 ₹/L,  0.00
Gumla,98.45 ₹/L,+ 0.16,93.20 ₹/L,+ 0.16
Hazaribagh,98.88 ₹/L,+ 0.05,93.60 ₹/L,+ 0.02
Jamtara,98.14 ₹/L,  0.00,92.86 ₹/L,  0.00
Khunti,97.73 ₹/L,- 0.14,92.49 ₹/L,- 0.14
Koderma,98.92 ₹/L,+ 0.44,93.64 ₹/L,+ 0.45
Latehar,99.04 ₹/L,- 0.80,93.79 ₹/L,- 0.79
Lohardaga,98.69 ₹/L,  0.00,93.44 ₹/L,  0.00
Pakur,99.17 ₹/L,  0.00,93.88 ₹/L,  0.00
Palamau,100.15 ₹/L,+ 0.77,94.89 ₹/L,+ 0.76
Ramgarh,98.35 ₹/L,  0.00,93.10 ₹/L,  0.00
Ranchi,97.81 ₹/L,- 0.32,92.56 ₹/L,- 0.32
Sahibganj,99.24 ₹/L,  0.00,93.96 ₹/L,  0.00
Saraikela Kharasawan,98.03 ₹/L,  0.00,92.77 ₹/L,  0.00
Simdega,99.07 ₹/L,+ 0.29,93.82 ₹/L,+ 0.29
West Singhbhum,98.26 ₹/L,  0.00,93.00 ₹/L,  0.00
