City,Price(P),Change(P),Price(D),Change(D)
Bagalkot,103.50 ₹/L,+ 0.24,91.55 ₹/L,+ 0.22
Bangalore,102.55 ₹/L,- 0.37,90.65 ₹/L,- 0.34
Bangalore Rural,103.05 ₹/L,+ 0.06,91.11 ₹/L,+ 0.05
Belgaum,102.95 ₹/L,- 0.59,91.05 ₹/L,- 0.55
Bellary,104.00 ₹/L,  0.00,92.04 ₹/L,  0.00
Bidar,103.64 ₹/L,+ 0.20,91.69 ₹/L,+ 0.20
Bijapur,102.70 ₹/L,- 0.53,90.81 ₹/L,- 0.50
Chamrajnagar,103.24 ₹/L,+ 0.50,91.28 ₹/L,+ 0.46
Chikkaballapura,102.92 ₹/L,- 0.18,90.99 ₹/L,- 0.17
Chikmagalur,103.19 ₹/L,- 0.71,91.21 ₹/L,- 0.90
Chitradurga,103.86 ₹/L,  0.00,92.09 ₹/L,- 0.01
Dakshin Kannad,102.17 ₹/L,- 0.72,90.26 ₹/L,- 0.66
Davangere,103.87 ₹/L,  0.00,91.80 ₹/L,- 0.30
Dharwad,102.81 ₹/L,- 0.02,90.91 ₹/L,- 0.02
Gadag,103.21 ₹/L,- 0.59,91.28 ₹/L,- 0.55
Gulbarga,103.00 ₹/L,+ 0.02,91.10 ₹/L,+ 0.03
Hassan,102.87 ₹/L,- 0.01,90.85 ₹/L,  0.00
Haveri,103.76 ₹/L,+ 0.86,91.80 ₹/L,+ 0.80
Kodagu,103.97 ₹/L,+ 0.01,92.03 ₹/L,- 0.11
Kolar,103.06 ₹/L,+ 0.21,91.12 ₹/L,+ 0.19
Koppal,104.08 ₹/L,+ 0.21,92.15 ₹/L,+ 0.25
Mandya,103.17 ₹/L,+ 0.31,91.23 ₹/L,+ 0.29
Mysore,103.23 ₹/L,+ 0.52,91.27 ₹/L,+ 0.47
Raichur,103.28 ₹/L,+ 0.46,91.37 ₹/L,+ 0.43
Ramanagara,102.98 ₹/L,- 0.26,91.05 ₹/L,- 0.25
Shimoga,103.84 ₹/L,- 0.08,91.78 ₹/L,- 0.33
Tumkur,103.87 ₹/L,+ 0.05,91.81 ₹/L,- 0.02
Udupi,102.48 ₹/L,- 0.47,90.55 ₹/L,- 0.44
Uttar Kannad,103.80 ₹/L,+ 0.81,91.77 ₹/L,+ 0.69
Yadgir,103.80 ₹/L,+ 0.49,91.83 ₹/L,+ 0.45
