City,Price(P),Change(P),Price(D),Change(D)
Alappuzha,105.68 ₹/L,- 0.35,94.67 ₹/L,- 0.32
Ernakulam,105.65 ₹/L,  0.00,94.64 ₹/L,  0.00
Idukki,107.53 ₹/L,+ 1.68,96.11 ₹/L,+ 1.29
Kannur,106.15 ₹/L,+ 0.22,95.13 ₹/L,+ 0.20
Kasaragod,106.58 ₹/L,+ 0.28,95.53 ₹/L,+ 0.26
Kollam,107.05 ₹/L,  0.00,95.95 ₹/L,  0.00
Kottayam,106.37 ₹/L,+ 0.29,95.31 ₹/L,+ 0.27
Kozhikode,105.72 ₹/L,- 0.05,94.72 ₹/L,- 0.06
Malappuram,106.79 ₹/L,+ 0.59,95.71 ₹/L,+ 0.53
Palakkad,107.09 ₹/L,  0.00,95.98 ₹/L,  0.00
Pathananthitta,106.62 ₹/L,+ 0.41,95.54 ₹/L,+ 0.37
Thiruvananthapuram,107.46 ₹/L,+ 0.21,96.33 ₹/L,+ 0.20
Thrissur,105.73 ₹/L,- 0.19,94.71 ₹/L,- 0.18
Wayanad,106.88 ₹/L,- 0.17,95.73 ₹/L,- 0.14
