City,Price(P),Change(P),Price(D),Change(D)
Agar Malwa,107.26 ₹/L,- 0.57,92.59 ₹/L,- 0.52
Alirajpur,108.28 ₹/L,- 0.11,93.51 ₹/L,- 0.10
Anupur,108.74 ₹/L,- 0.88,93.95 ₹/L,- 0.80
Ashoknagar,106.53 ₹/L,- 0.11,91.89 ₹/L,- 0.09
Badwani,107.95 ₹/L,- 0.15,93.22 ₹/L,- 0.15
Balaghat,108.49 ₹/L,+ 0.06,93.71 ₹/L,+ 0.04
Betul,107.48 ₹/L,  0.00,92.78 ₹/L,  0.00
Bhind,106.74 ₹/L,- 0.17,92.10 ₹/L,- 0.15
Bhopal,106.47 ₹/L,+ 0.32,91.84 ₹/L,+ 0.29
Burhanpur,108.50 ₹/L,+ 0.06,93.72 ₹/L,+ 0.05
Chhatarpur,107.85 ₹/L,- 0.53,93.10 ₹/L,- 0.49
Chhindware,108.25 ₹/L,- 0.08,93.48 ₹/L,- 0.09
Damoh,107.22 ₹/L,- 0.19,92.52 ₹/L,- 0.18
Datia,107.20 ₹/L,  0.00,92.51 ₹/L,  0.00
Dewas,107.32 ₹/L,+ 0.59,92.64 ₹/L,+ 0.54
Dhar,107.21 ₹/L,+ 0.18,92.54 ₹/L,+ 0.17
Dindori,107.50 ₹/L,  0.00,92.81 ₹/L,  0.00
Guna,107.43 ₹/L,+ 0.02,92.71 ₹/L,+ 0.02
Gwalior,106.40 ₹/L,  0.00,91.78 ₹/L,  0.00
Harda,106.99 ₹/L,+ 0.02,92.33 ₹/L,+ 0.02
Hoshangabad,107.14 ₹/L,+ 0.87,92.47 ₹/L,+ 0.80
Indore,106.92 ₹/L,+ 0.42,92.28 ₹/L,+ 0.39
Jabalpur,106.76 ₹/L,+ 0.48,92.13 ₹/L,+ 0.43
Jahbua,107.28 ₹/L,- 0.22,92.59 ₹/L,- 0.21
Katni,107.09 ₹/L,- 0.43,92.44 ₹/L,- 0.39
Khandwa,108.13 ₹/L,+ 0.01,93.38 ₹/L,  0.00
Khargone,107.34 ₹/L,- 0.74,92.66 ₹/L,- 0.68
Mandla,107.19 ₹/L,+ 0.16,92.53 ₹/L,+ 0.15
Mandsaur,107.30 ₹/L,+ 0.31,92.61 ₹/L,+ 0.28
Morena,106.67 ₹/L,+ 0.29,92.03 ₹/L,+ 0.27
Narsimhapur,106.95 ₹/L,- 0.62,92.31 ₹/L,- 0.54
Neemach,107.80 ₹/L,+ 0.04,93.08 ₹/L,+ 0.04
Panna,108.31 ₹/L,- 0.29,93.53 ₹/L,- 0.26
Raisen,107.05 ₹/L,+ 0.09,92.37 ₹/L,+ 0.08
Rajgarh,107.41 ₹/L,- 0.32,92.70 ₹/L,- 0.30
Ratlam,106.57 ₹/L,- 0.05,91.95 ₹/L,- 0.05
Rewa,109.29 ₹/L,+ 0.28,94.45 ₹/L,+ 0.25
Sagar,106.44 ₹/L,+ 0.03,91.81 ₹/L,+ 0.02
Satna,107.93 ₹/L,- 0.86,93.20 ₹/L,- 0.79
Sehore,106.27 ₹/L,+ 0.16,91.66 ₹/L,+ 0.14
Seoni,106.87 ₹/L,- 0.87,92.23 ₹/L,- 0.80
Shahdol,109.16 ₹/L,+ 0.36,94.33 ₹/L,+ 0.33
Shajapur,106.94 ₹/L,- 0.21,92.27 ₹/L,- 0.22
Sheopur,108.82 ₹/L,- 0.21,94.00 ₹/L,- 0.19
Shivpuri,108.37 ₹/L,+ 0.18,93.59 ₹/L,+ 0.17
Sidhi,107.53 ₹/L,- 0.65,92.86 ₹/L,- 0.59
Singrauli,107.04 ₹/L,+ 0.48,92.41 ₹/L,+ 0.44
Tikamgarh,107.69 ₹/L,+ 0.40,92.94 ₹/L,+ 0.36
Ujjain,106.82 ₹/L,  0.00,92.19 ₹/L,  0.00
Umaria,108.30 ₹/L,- 0.01,93.54 ₹/L,- 0.01
Vidisha,106.06 ₹/L,- 0.55,91.45 ₹/L,- 0.51
