City,Price(P),Change(P),Price(D),Change(D)
Ahmadnagar,104.33 ₹/L,- 0.56,90.87 ₹/L,- 0.53
Akola,104.47 ₹/L,- 0.06,91.02 ₹/L,- 0.06
Amravati,104.78 ₹/L,- 0.06,91.32 ₹/L,- 0.05
Aurangabad,104.86 ₹/L,- 0.64,91.37 ₹/L,- 0.66
Bhandara,104.88 ₹/L,  0.00,91.41 ₹/L,  0.00
Bid,104.82 ₹/L,  0.00,91.34 ₹/L,+ 0.01
Buldhana,104.42 ₹/L,- 0.96,90.97 ₹/L,- 0.93
Chandrapur,104.92 ₹/L,+ 0.46,91.47 ₹/L,+ 0.45
Dhule,104.77 ₹/L,+ 0.81,91.29 ₹/L,+ 0.78
Gadchiroli,104.90 ₹/L,- 0.34,91.44 ₹/L,- 0.33
Gondia,105.55 ₹/L,+ 0.11,92.09 ₹/L,+ 0.14
Greater Mumbai,103.68 ₹/L,+ 0.18,90.20 ₹/L,+ 0.17
Hingoli,105.50 ₹/L,  0.00,92.03 ₹/L,  0.00
Jalgaon,104.41 ₹/L,- 0.31,90.94 ₹/L,- 0.29
Jalna,105.50 ₹/L,+ 0.26,92.03 ₹/L,+ 0.30
Kolhapur,104.49 ₹/L,+ 0.40,91.04 ₹/L,+ 0.38
Latur,105.50 ₹/L,+ 0.18,92.03 ₹/L,+ 0.20
Mumbai City,103.50 ₹/L,  0.00,90.03 ₹/L,  0.00
Nagpur,104.02 ₹/L,- 0.07,90.58 ₹/L,- 0.07
Nanded,105.49 ₹/L,- 0.01,92.03 ₹/L,  0.00
Nandurbar,105.48 ₹/L,+ 0.51,91.98 ₹/L,+ 0.50
Nashik,104.74 ₹/L,+ 0.19,91.25 ₹/L,+ 0.18
Osmanabad,104.91 ₹/L,  0.00,91.43 ₹/L,  0.00
Palghar,104.52 ₹/L,+ 0.29,91.01 ₹/L,+ 0.28
Parbhani,105.49 ₹/L,- 0.01,92.03 ₹/L,  0.00
Pune,103.82 ₹/L,- 1.05,90.35 ₹/L,- 1.02
Raigarh,104.78 ₹/L,+ 0.66,91.26 ₹/L,+ 0.64
Ratnagiri,105.50 ₹/L,+ 0.05,92.03 ₹/L,+ 0.07
Sangli,104.46 ₹/L,+ 0.23,91.01 ₹/L,+ 0.22
Satara,105.16 ₹/L,+ 0.44,91.65 ₹/L,+ 0.40
Sindhudurg,105.50 ₹/L,  0.00,92.03 ₹/L,  0.00
Solapur,104.37 ₹/L,- 0.33,90.91 ₹/L,- 0.32
Thane,103.70 ₹/L,+ 0.02,90.22 ₹/L,+ 0.02
Wardha,104.39 ₹/L,- 0.52,90.94 ₹/L,- 0.50
Washim,104.74 ₹/L,- 0.21,91.28 ₹/L,- 0.20
Yavatmal,104.47 ₹/L,- 0.52,91.03 ₹/L,- 0.49
