City,Price(P),Change(P),Price(D),Change(D)
Angul,102.76 ₹/L,- 0.16,94.28 ₹/L,- 0.15
Baleshwar,101.10 ₹/L,- 0.36,92.69 ₹/L,- 0.35
Bargarh,101.92 ₹/L,- 0.59,93.49 ₹/L,- 0.57
Bhadrak,101.59 ₹/L,- 0.02,93.17 ₹/L,- 0.02
Bolangir,103.54 ₹/L,+ 0.12,95.04 ₹/L,+ 0.11
Boudh,103.05 ₹/L,- 0.28,94.55 ₹/L,- 0.27
Cuttack,101.14 ₹/L,- 0.10,92.72 ₹/L,- 0.09
Deogarh,102.21 ₹/L,  0.00,93.76 ₹/L,  0.00
Dhenkanal,101.85 ₹/L,  0.00,93.40 ₹/L,  0.00
Gajapati,103.52 ₹/L,+ 0.54,95.01 ₹/L,+ 0.53
Ganjam,101.64 ₹/L,- 1.01,93.19 ₹/L,- 0.98
Jagatsinghpur,101.03 ₹/L,+ 0.22,92.59 ₹/L,+ 0.22
Jajpur,101.56 ₹/L,- 0.07,93.10 ₹/L,- 0.07
Jharsuguda,101.07 ₹/L,- 0.02,92.67 ₹/L,- 0.02
Kalahandi,104.00 ₹/L,+ 0.25,95.50 ₹/L,+ 0.25
Kandhamal,102.78 ₹/L,- 1.03,94.29 ₹/L,- 1.00
Kendrapara,100.98 ₹/L,- 0.43,92.54 ₹/L,- 0.41
Keonjhar,103.47 ₹/L,+ 0.82,94.94 ₹/L,+ 0.76
Khordha,101.06 ₹/L,- 0.28,92.64 ₹/L,- 0.27
Koraput,105.73 ₹/L,+ 0.27,97.16 ₹/L,+ 0.26
Malkangiri,106.78 ₹/L,- 0.49,98.17 ₹/L,- 0.47
Mayurbhanj,101.92 ₹/L,+ 0.38,93.49 ₹/L,+ 0.38
Nabarangapur,106.00 ₹/L,+ 0.40,97.41 ₹/L,+ 0.38
Nayagarh,101.34 ₹/L,- 0.16,92.91 ₹/L,- 0.15
Nuaparha,103.80 ₹/L,+ 0.25,95.30 ₹/L,+ 0.25
Puri,101.35 ₹/L,+ 0.32,92.92 ₹/L,+ 0.32
Rayagada,104.88 ₹/L,- 0.03,96.31 ₹/L,- 0.03
Sambalpur,101.09 ₹/L,- 0.54,92.69 ₹/L,- 0.52
Sonapur,102.55 ₹/L,  0.00,94.09 ₹/L,  0.00
Sundargarh,101.13 ₹/L,- 0.46,92.73 ₹/L,- 0.44
