City,Price(P),Change(P),Price(D),Change(D)
Amritsar,98.74 ₹/L,  0.00,89.04 ₹/L,  0.00
Barnala,98.10 ₹/L,  0.00,88.43 ₹/L,  0.00
Bathinda,97.99 ₹/L,+ 0.18,88.32 ₹/L,+ 0.18
Faridkot,98.52 ₹/L,- 0.02,88.82 ₹/L,- 0.03
Fatehgarh Sahib,98.45 ₹/L,  0.00,88.76 ₹/L,  0.00
Fazilka,98.59 ₹/L,+ 0.17,88.89 ₹/L,+ 0.16
Firozpur,98.67 ₹/L,- 0.14,88.97 ₹/L,- 0.14
Gurdaspur,98.73 ₹/L,- 0.01,89.04 ₹/L,- 0.01
Hoshiarpur,98.32 ₹/L,+ 0.05,88.64 ₹/L,+ 0.05
Jalandhar,98.12 ₹/L,+ 0.11,88.45 ₹/L,+ 0.11
Kapurthala,98.03 ₹/L,+ 0.07,88.37 ₹/L,+ 0.07
Ludhiana,98.73 ₹/L,+ 0.37,89.02 ₹/L,+ 0.35
Mansa,98.38 ₹/L,- 0.08,88.69 ₹/L,- 0.08
Moga,98.66 ₹/L,+ 0.18,88.96 ₹/L,+ 0.16
Muktsar,98.31 ₹/L,+ 0.21,88.62 ₹/L,+ 0.20
Pathankot,98.81 ₹/L,- 0.01,89.11 ₹/L,- 0.01
Patiala,98.27 ₹/L,- 0.35,88.59 ₹/L,- 0.33
Rupnagar,98.97 ₹/L,+ 0.21,89.26 ₹/L,+ 0.20
Sangrur,97.81 ₹/L,- 0.14,88.15 ₹/L,- 0.13
Sas Nagar,98.96 ₹/L,+ 0.09,89.25 ₹/L,+ 0.09
Shd Bhagat Singh Ngr,98.65 ₹/L,+ 0.63,88.96 ₹/L,+ 0.61
Tarn Taran,98.95 ₹/L,+ 0.28,89.25 ₹/L,+ 0.27
