City,Price(P),Change(P),Price(D),Change(D)
Ajmer,108.20 ₹/L,  0.00,93.47 ₹/L,  0.00
Alwar,109.61 ₹/L,+ 0.38,94.72 ₹/L,+ 0.35
Banswara,109.65 ₹/L,  0.00,94.78 ₹/L,  0.00
Baran,108.71 ₹/L,- 0.75,93.92 ₹/L,- 0.68
Barmer,109.27 ₹/L,- 0.46,94.44 ₹/L,- 0.42
Bharatpur,108.47 ₹/L,+ 0.11,93.69 ₹/L,+ 0.10
Bhilwara,108.99 ₹/L,+ 0.33,94.17 ₹/L,+ 0.28
Bikaner,110.78 ₹/L,- 0.60,95.81 ₹/L,- 0.54
Bundi,108.42 ₹/L,- 0.21,93.65 ₹/L,- 0.19
Chittaurgarh,108.49 ₹/L,+ 0.39,93.73 ₹/L,+ 0.35
Churu,111.17 ₹/L,+ 0.81,96.15 ₹/L,+ 0.73
Dausa,109.56 ₹/L,+ 0.36,94.67 ₹/L,+ 0.32
Dhaulpur,109.15 ₹/L,+ 0.20,94.30 ₹/L,+ 0.18
Dungarpur,109.99 ₹/L,- 0.37,95.09 ₹/L,- 0.33
Ganganagar,112.23 ₹/L,- 0.88,97.11 ₹/L,- 0.79
Hanumangarh,112.06 ₹/L,  0.00,96.95 ₹/L,  0.00
Jaipur,108.48 ₹/L,- 0.30,93.72 ₹/L,- 0.27
Jaisalmer,111.50 ₹/L,+ 0.67,96.46 ₹/L,+ 0.60
Jalor,109.98 ₹/L,- 0.40,95.08 ₹/L,- 0.37
Jhalawar,109.33 ₹/L,- 0.16,94.48 ₹/L,- 0.14
Jhunjhunun,109.76 ₹/L,- 0.17,94.88 ₹/L,- 0.15
Jodhpur,108.81 ₹/L,- 1.32,94.03 ₹/L,- 1.19
Karauli,109.29 ₹/L,+ 0.41,94.43 ₹/L,+ 0.37
Kota,107.96 ₹/L,- 0.54,93.24 ₹/L,- 0.49
Nagaur,109.24 ₹/L,- 0.12,94.41 ₹/L,- 0.11
Pali,109.16 ₹/L,+ 0.19,94.35 ₹/L,+ 0.18
Pratapgarh,108.53 ₹/L,- 1.00,93.78 ₹/L,- 0.90
Rajsamand,109.28 ₹/L,+ 0.08,94.45 ₹/L,+ 0.07
Sawaimadhopur,109.42 ₹/L,- 0.21,94.54 ₹/L,- 0.20
Sikar,109.64 ₹/L,+ 0.11,94.76 ₹/L,+ 0.09
Sirohi,109.43 ₹/L,- 1.33,94.59 ₹/L,- 1.19
Tonk,109.19 ₹/L,- 0.02,94.36 ₹/L,- 0.02
Udaipur,109.44 ₹/L,+ 0.17,94.60 ₹/L,+ 0.16
