City,Price(P),Change(P),Price(D),Change(D)
Ariyalur,102.05 ₹/L,  0.00,93.65 ₹/L,  0.00
Chennai,100.90 ₹/L,+ 0.10,92.48 ₹/L,+ 0.09
Coimbatore,101.33 ₹/L,+ 0.10,92.93 ₹/L,+ 0.10
Cuddalore,102.68 ₹/L,- 0.04,94.22 ₹/L,- 0.04
Dharmapuri,102.25 ₹/L,  0.00,93.83 ₹/L,  0.00
Dindigul,101.58 ₹/L,  0.00,93.18 ₹/L,  0.00
Erode,101.53 ₹/L,  0.00,93.13 ₹/L,  0.00
Kanchipuram,101.33 ₹/L,- 0.20,92.90 ₹/L,- 0.20
Kanniyakumari,102.12 ₹/L,  0.00,93.74 ₹/L,  0.00
Karur,101.25 ₹/L,+ 0.16,92.86 ₹/L,+ 0.16
Krishnagiri,102.42 ₹/L,  0.00,94.00 ₹/L,  0.00
Madurai,101.56 ₹/L,- 0.03,93.17 ₹/L,- 0.04
Nagapattinam,102.22 ₹/L,  0.00,93.82 ₹/L,  0.00
Namakkal,101.27 ₹/L,  0.00,92.88 ₹/L,  0.00
Nilgiris,102.89 ₹/L,  0.00,94.44 ₹/L,  0.00
Perambalur,101.81 ₹/L,  0.00,93.42 ₹/L,  0.00
Pudukkottai,101.60 ₹/L,  0.00,93.21 ₹/L,  0.00
Ramanathapuram,102.32 ₹/L,+ 0.27,93.92 ₹/L,+ 0.28
Salem,101.42 ₹/L,  0.00,93.02 ₹/L,  0.00
Sivaganga,102.02 ₹/L,+ 0.25,93.62 ₹/L,+ 0.24
Teni,102.21 ₹/L,+ 0.02,93.81 ₹/L,+ 0.02
Thanjavur,101.57 ₹/L,  0.00,93.18 ₹/L,  0.00
Thiruvarur,101.89 ₹/L,+ 0.15,93.49 ₹/L,+ 0.14
Tiruchchirappalli,101.26 ₹/L,  0.00,92.88 ₹/L,  0.00
Tirunelveli,101.60 ₹/L,  0.00,93.23 ₹/L,  0.00
Tirupur,101.36 ₹/L,- 0.15,92.97 ₹/L,- 0.14
Tiruvallur,100.99 ₹/L,  0.00,92.57 ₹/L,  0.00
Tiruvannamalai,102.10 ₹/L,- 0.69,93.65 ₹/L,- 0.68
Tuticorin,101.14 ₹/L,- 0.33,92.75 ₹/L,- 0.35
Vellore,102.57 ₹/L,+ 0.17,94.11 ₹/L,+ 0.16
Viluppuram,102.20 ₹/L,+ 0.18,93.75 ₹/L,+ 0.18
Virudunagar,101.70 ₹/L,- 0.02,93.31 ₹/L,- 0.04
