City,Price(P),Change(P),Price(D),Change(D)
Adilabad,111.67 ₹/L,- 0.16,99.69 ₹/L,- 0.15
Bhadradri Kothagudem,110.71 ₹/L,- 0.07,98.78 ₹/L,- 0.08
Hyderabad,109.66 ₹/L,  0.00,97.82 ₹/L,  0.00
Jagitial,110.46 ₹/L,+ 0.06,98.56 ₹/L,+ 0.06
Jangaon,109.55 ₹/L,+ 0.28,97.71 ₹/L,+ 0.26
Jayashankar Bhupalpa,110.01 ₹/L,+ 0.35,98.14 ₹/L,+ 0.34
Jogulamba Gadwal,111.51 ₹/L,- 0.24,99.55 ₹/L,- 0.22
Kamareddy,111.05 ₹/L,+ 0.34,99.11 ₹/L,+ 0.32
Karim Nagar,109.32 ₹/L,  0.00,97.50 ₹/L,  0.00
Khammam,110.50 ₹/L,+ 0.82,98.58 ₹/L,+ 0.76
Komram Bheem Asifaba,111.38 ₹/L,- 0.21,99.42 ₹/L,- 0.19
Mahabubabad,109.99 ₹/L,+ 0.43,98.12 ₹/L,+ 0.40
Mancherial,110.52 ₹/L,- 0.38,98.62 ₹/L,- 0.35
Medak,110.43 ₹/L,+ 0.66,98.54 ₹/L,+ 0.61
Medchal Malkajgiri,109.27 ₹/L,- 0.39,97.45 ₹/L,- 0.37
Mehabubnagar,110.31 ₹/L,- 0.13,98.43 ₹/L,- 0.12
Mulugu,110.39 ₹/L,+ 1.10,98.49 ₹/L,+ 1.02
Nagarkurnool,110.93 ₹/L,+ 0.52,99.00 ₹/L,+ 0.47
Nalgonda,109.61 ₹/L,- 0.15,97.75 ₹/L,- 0.15
Narayanpet,111.07 ₹/L,- 0.33,99.14 ₹/L,- 0.31
Nirmal,111.74 ₹/L,+ 0.38,99.76 ₹/L,+ 0.36
Nizamabad,111.42 ₹/L,+ 0.15,99.46 ₹/L,+ 0.15
Peddapalli,110.12 ₹/L,- 0.08,98.24 ₹/L,- 0.07
Rajanna Sircilla,110.18 ₹/L,  0.00,98.30 ₹/L,  0.00
Rangareddi,110.10 ₹/L,+ 0.33,98.24 ₹/L,+ 0.31
Sangareddy,111.02 ₹/L,+ 1.19,99.09 ₹/L,+ 1.11
Siddipet,109.89 ₹/L,+ 0.42,98.04 ₹/L,+ 0.41
Suryapet,109.08 ₹/L,- 0.28,97.25 ₹/L,- 0.27
Vikarabad,110.51 ₹/L,- 0.08,98.62 ₹/L,- 0.07
Wanaparthy,111.05 ₹/L,  0.00,99.12 ₹/L,  0.00
Warangal,109.13 ₹/L,- 0.18,97.31 ₹/L,- 0.18
Warangal Rural,109.10 ₹/L,  0.00,97.29 ₹/L,  0.00
Yadadri Bhuvanagiri,109.60 ₹/L,- 0.13,97.77 ₹/L,- 0.10
