City,Price(P),Change(P),Price(D),Change(D)
Almora,93.80 ₹/L,+ 0.02,88.54 ₹/L,- 0.04
Bageshwar,94.07 ₹/L,  0.00,89.06 ₹/L,  0.00
Chamoli,94.57 ₹/L,- 0.05,89.46 ₹/L,  0.00
Champawat,93.45 ₹/L,  0.00,88.42 ₹/L,  0.00
Dehradun,93.51 ₹/L,+ 0.02,88.42 ₹/L,+ 0.04
Haridwar,92.72 ₹/L,- 0.05,87.56 ₹/L,- 0.06
Nainital,92.74 ₹/L,- 0.36,87.61 ₹/L,- 0.41
Pauri,93.52 ₹/L,  0.00,88.46 ₹/L,  0.00
Pithoragarh,94.62 ₹/L,  0.00,89.46 ₹/L,  0.00
Rudraprayag,94.65 ₹/L,+ 0.02,89.48 ₹/L,+ 0.02
Tehri Garhwal,94.41 ₹/L,  0.00,89.34 ₹/L,  0.00
Udham Singh Nagar,93.37 ₹/L,+ 0.28,88.34 ₹/L,+ 0.33
Uttarkashi,94.62 ₹/L,  0.00,89.51 ₹/L,  0.00
