City,Price(P),Change(P),Price(D),Change(D)
Alipurduar,106.64 ₹/L,  0.00,93.16 ₹/L,  0.00
Bankura,105.85 ₹/L,- 0.47,92.42 ₹/L,- 0.45
Birbhum,105.54 ₹/L,- 0.51,92.14 ₹/L,- 0.48
Cooch Bihar,106.72 ₹/L,+ 0.01,93.33 ₹/L,+ 0.04
Dakshin Dinajpur,105.76 ₹/L,+ 0.05,92.33 ₹/L,+ 0.04
Darjeeling,105.41 ₹/L,  0.00,92.00 ₹/L,  0.00
Hooghly,105.90 ₹/L,+ 0.47,92.47 ₹/L,+ 0.44
Howrah,105.41 ₹/L,  0.00,92.01 ₹/L,  0.00
Jalpaiguri,105.61 ₹/L,+ 0.50,92.19 ₹/L,+ 0.46
Jhargram,106.23 ₹/L,+ 0.13,92.75 ₹/L,+ 0.13
Kalimpong,105.35 ₹/L,  0.00,91.96 ₹/L,  0.00
Kolkata,105.41 ₹/L,  0.00,92.02 ₹/L,  0.00
Malda,105.20 ₹/L,+ 0.01,91.81 ₹/L,+ 0.01
Murshidabad,106.26 ₹/L,  0.00,92.82 ₹/L,  0.00
Nadia,105.92 ₹/L,- 0.50,92.49 ₹/L,- 0.47
North 24 Parganas,105.71 ₹/L,- 0.04,92.29 ₹/L,- 0.04
Paschim Bardhaman,105.24 ₹/L,  0.00,91.86 ₹/L,  0.00
Paschim Medinipur,105.89 ₹/L,+ 0.03,92.43 ₹/L,+ 0.03
Purba Bardhaman,105.77 ₹/L,- 0.03,92.35 ₹/L,- 0.03
Purba Medinipur,105.33 ₹/L,+ 0.62,91.90 ₹/L,+ 0.57
Purulia,106.71 ₹/L,+ 0.48,93.29 ₹/L,+ 0.51
South 24 Parganas,105.41 ₹/L,  0.00,92.01 ₹/L,  0.00
Uttar Dinajpur,106.21 ₹/L,+ 0.14,92.75 ₹/L,+ 0.13
