City,State,lat,long

Nicobar,Andaman And Nicobar,7.0000167,93.8110528187756

North And Middle Andaman,Andaman And Nicobar,12.61123865,92.83165406414926

South Andaman,Andaman And Nicobar,11.7232031,92.7011101945954

Anantapur,Andhra Pradesh,14.6546235,77.55625984224562

Chittoor,Andhra Pradesh,13.1601048,79.15555061803596

Cuddapah,Andhra Pradesh,14.4956602,78.8349278

East Godavari,Andhra Pradesh,16.99842865,81.71561488059287

Guntur,Andhra Pradesh,16.2915189,80.4541588

Krishna,Andhra Pradesh,16.21399145,81.02572813603345

Kurnool,Andhra Pradesh,15.8309251,78.0425373

Nellore,Andhra Pradesh,14.4493717,79.9873763

Prakasam,Andhra Pradesh,15.6589741,79.47164372680194

Srikakulam,Andhra Pradesh,18.32002205,83.91607719937166

Vishakhapatnam,Andhra Pradesh,17.6868159,83.2184815

Vizianagaram,Andhra Pradesh,18.1120819,83.4052196224888

West Godavari,Andhra Pradesh,16.63713765,81.58909665667748

Changlang,Arunachal Pradesh,27.1398402,95.7382485

Dibang Valley,Arunachal Pradesh,28.8291044,95.95540957636018

East Khameng,Arunachal Pradesh,27.6141916,92.8577105

East Siang,Arunachal Pradesh,28.3,95.15

Lohit,Arunachal Pradesh,27.8239052,95.861898

Longding,Arunachal Pradesh,26.879454600000003,95.3155652456941

Lower Dibang Valley,Arunachal Pradesh,28.21495625,95.87877403567019

Lower Subansiri,Arunachal Pradesh,27.8,93.6

Namsai,Arunachal Pradesh,27.71403055,96.01597093953018

Papumpare,Arunachal Pradesh,27.2240654,93.5003454

Tawang,Arunachal Pradesh,27.5879186,91.863733

Tirap,Arunachal Pradesh,27.03016895,95.49791754505583

Upper Siang,Arunachal Pradesh,28.73120455,95.03773151350946

Upper Sibansiri,Arunachal Pradesh,28.3348801,93.9878427

West Kameng,Arunachal Pradesh,27.4,92.35

West Siang,Arunachal Pradesh,28.4,94.55

Baksa,Assam,26.6275689,91.33885514581193

Barpeta,Assam,26.34142215,91.01674328474073

Biswanath,Assam,26.7773957,93.25694367444689

Bongaigaon,Assam,26.412376950000002,90.57149765106257

Cachar,Assam,24.758639950000003,92.88166475768219

Charaideo,Assam,27.06971635,95.06426298389661

Chirang,Assam,26.6464231,90.62415698729875

Darrang,Assam,26.75,92.5

Dhemaji,Assam,27.466831499999998,94.51786508708852

Dhuburi,Assam,26.0188758,89.97932453629173

Dibrugarh,Assam,27.4844597,94.9019447

Dima Hasao,Assam,25.400362549999997,93.07522922678905

Goalpara,Assam,26.1783623,90.6226683

Golaghat,Assam,26.40490095,94.03209112120626

Hailakandi,Assam,24.68845365,92.57381528240943

Hojai,Assam,26.009390850000003,92.84879014262606

Jorhat,Assam,26.7577925,94.2079645

Kamrup,Assam,26.14688605,91.22273972821812

Kamrup Metro,Assam,26.1700805,91.949021

Karbi Anglong,Assam,26,93.5

Karimganj,Assam,24.8483482,92.33221292310328

Kokrajhar,Assam,26.58687695,90.29293105124796

Lakhimpur,Assam,27.0827158,93.9978423

Majuli,Assam,27.021952849999998,94.32742302965544

Morigaon,Assam,26.2551482,92.3290878

Nagaon,Assam,26.30414915,92.71605974430346

Nalbari,Assam,26.42386165,91.45122754621168

Sibsagar,Assam,26.96388985,94.58213344568205

Sonitpur,Assam,26.767770749999997,92.70140885850532

Tinsukia,Assam,27.52016575,95.5306347312879

Udalguri,Assam,26.7503815,92.0977245

West Karbi Anglong,Assam,25.85291415,92.58756812404593

Araria,Bihar,26.26498795,87.37162648106798

Arwal,Bihar,25.180777149999997,84.65920203021554

Aurangabad,Bihar,24.786306,84.41448983395554

Banka,Bihar,24.8655681,86.87278642295597

Begusarai,Bihar,25.5127194,86.09057109140021

Bhagalpur,Bihar,25.2871758,87.13033088387233

Bhojpur,Bihar,25.25,84.25

Buxar,Bihar,25.562071500000002,84.01567204651289

Darbhanga,Bihar,26.08314325,86.03257096612822

East Champaran,Bihar,26.5475298,84.6717583

Gaya,Bihar,24.7964355,85.0079563

Gopalganj,Bihar,26.4207265,84.37406407415165

Jahanabad,Bihar,25.2420022,85.0206457

Jamui,Bihar,24.967852049999998,86.17351147289283

Kaimur,Bihar,24.97587095,83.57643402321503

Katihar,Bihar,25.559100100000002,87.64745595714365

Khagaria,Bihar,25.4916868,86.69910848212217

Kishanganj,Bihar,26.130435300000002,87.94010318229245

Luckeesarai,Bihar,25.1717751,86.0944743

Madhepura,Bihar,25.9259562,86.82042961035677

Madhubani,Bihar,26.350071999999997,86.22914688962271

Munger,Bihar,25.22081165,86.51720367235285

Muzaffarpur,Bihar,26.1486581,85.34001282479626

Nalanda,Bihar,25.1364914,85.44365464855682

Nawada,Bihar,24.818123999999997,85.5185562336921

Patna,Bihar,25.6093239,85.1235252

